latitude,longitude,Emmisions
37.202395,-107.050863,GHG emissions mtons CO2e
37.306693,-102.537758,GHG emissions mtons CO2e
37.931891,-103.077584,GHG emissions mtons CO2e
40.09497,-105.397691,GHG emissions mtons CO2e
39.953302,-105.052038,GHG emissions mtons CO2e
38.738224,-106.316685,GHG emissions mtons CO2e
38.835386,-102.604585,GHG emissions mtons CO2e
39.689403,-105.670783,GHG emissions mtons CO2e
37.213406,-106.176447,GHG emissions mtons CO2e
37.277547,-105.42894,GHG emissions mtons CO2e
38.30618,-103.772736,GHG emissions mtons CO2e
38.101994,-105.373515,GHG emissions mtons CO2e
38.861756,-107.864757,GHG emissions mtons CO2e
39.76185,-104.881105,GHG emissions mtons CO2e
37.747602,-108.530383,GHG emissions mtons CO2e
39.325414,-104.925987,GHG emissions mtons CO2e
39.626992,-106.695169,GHG emissions mtons CO2e
39.310582,-104.117729,GHG emissions mtons CO2e
38.827383,-104.527472,GHG emissions mtons CO2e
38.45517,-105.424958,GHG emissions mtons CO2e
39.599352,-107.90978,GHG emissions mtons CO2e
39.861156,-105.528878,GHG emissions mtons CO2e
40.123205,-106.095935,GHG emissions mtons CO2e
38.67264,-107.066506,GHG emissions mtons CO2e
37.821165,-107.338261,GHG emissions mtons CO2e
37.687815,-104.959928,GHG emissions mtons CO2e
40.663432,-106.329248,GHG emissions mtons CO2e
39.579511,-105.245462,GHG emissions mtons CO2e
38.387663,-102.756849,GHG emissions mtons CO2e
39.30534,-102.603023,GHG emissions mtons CO2e
39.205341,-106.350079,GHG emissions mtons CO2e
37.287367,-107.839718,GHG emissions mtons CO2e
40.658093,-105.486764,GHG emissions mtons CO2e
37.318831,-104.04411,GHG emissions mtons CO2e
38.99374,-103.507555,GHG emissions mtons CO2e
40.728091,-103.090464,GHG emissions mtons CO2e
39.019421,-108.461893,GHG emissions mtons CO2e
37.549067,-107.003236,GHG emissions mtons CO2e
40.616358,-108.211099,GHG emissions mtons CO2e
37.338025,-108.595786,GHG emissions mtons CO2e
38.407507,-108.266282,GHG emissions mtons CO2e
40.263167,-103.812285,GHG emissions mtons CO2e
37.88417,-103.72126,GHG emissions mtons CO2e
38.154731,-107.78848,GHG emissions mtons CO2e
39.118914,-105.717648,GHG emissions mtons CO2e
40.594712,-102.345105,GHG emissions mtons CO2e
39.217332,-106.915783,GHG emissions mtons CO2e
37.958181,-102.392161,GHG emissions mtons CO2e
38.170658,-104.489892,GHG emissions mtons CO2e
39.972622,-108.200716,GHG emissions mtons CO2e
37.485853,-106.453128,GHG emissions mtons CO2e
40.483664,-106.987702,GHG emissions mtons CO2e
38.031651,-106.234666,GHG emissions mtons CO2e
37.781074,-107.670257,GHG emissions mtons CO2e
38.009374,-108.427326,GHG emissions mtons CO2e
40.871568,-102.355358,GHG emissions mtons CO2e
39.621023,-106.137555,GHG emissions mtons CO2e
38.870023,-105.187339,GHG emissions mtons CO2e
39.96579,-103.209744,GHG emissions mtons CO2e
40.555961,-104.383666,GHG emissions mtons CO2e
40.000631,-102.422649,GHG emissions mtons CO2e
41.227413,-73.367061,GHG emissions mtons CO2e
41.806053,-72.732916,GHG emissions mtons CO2e
41.791883,-73.235404,GHG emissions mtons CO2e
41.433003,-72.52278,GHG emissions mtons CO2e
41.349717,-72.900204,GHG emissions mtons CO2e
41.472651,-72.108633,GHG emissions mtons CO2e
41.858081,-72.340978,GHG emissions mtons CO2e
41.824999,-71.990702,GHG emissions mtons CO2e
39.097088,-75.502982,GHG emissions mtons CO2e
39.575915,-75.644132,GHG emissions mtons CO2e
38.673227,-75.337024,GHG emissions mtons CO2e
38.904103,-77.017229,GHG emissions mtons CO2e
29.67574,-82.357221,GHG emissions mtons CO2e
30.324442,-82.302284,GHG emissions mtons CO2e
30.238117,-85.63143,GHG emissions mtons CO2e
29.952386,-82.166599,GHG emissions mtons CO2e
28.298304,-80.700331,GHG emissions mtons CO2e
26.193535,-80.476683,GHG emissions mtons CO2e
30.388801,-85.197915,GHG emissions mtons CO2e
26.868933,-81.941077,GHG emissions mtons CO2e
28.84364,-82.52481,GHG emissions mtons CO2e
29.986584,-81.865036,GHG emissions mtons CO2e
26.118786,-81.400955,GHG emissions mtons CO2e
30.221333,-82.623168,GHG emissions mtons CO2e
27.190581,-81.806253,GHG emissions mtons CO2e
29.580899,-83.195666,GHG emissions mtons CO2e
30.335245,-81.648113,GHG emissions mtons CO2e
30.611638,-87.3389,GHG emissions mtons CO2e
29.474912,-81.286305,GHG emissions mtons CO2e
29.810176,-84.799174,GHG emissions mtons CO2e
30.578687,-84.612607,GHG emissions mtons CO2e
29.723456,-82.795801,GHG emissions mtons CO2e
26.95481,-81.19082,GHG emissions mtons CO2e
29.907257,-85.256537,GHG emissions mtons CO2e
30.491226,-82.951069,GHG emissions mtons CO2e
27.492846,-81.82158,GHG emissions mtons CO2e
26.539967,-81.152114,GHG emissions mtons CO2e
28.573043,-82.466227,GHG emissions mtons CO2e
27.342627,-81.340921,GHG emissions mtons CO2e
27.906607,-82.349719,GHG emissions mtons CO2e
30.866222,-85.812959,GHG emissions mtons CO2e
27.700528,-80.574789,GHG emissions mtons CO2e
30.78925,-85.208813,GHG emissions mtons CO2e
30.424558,-83.890859,GHG emissions mtons CO2e
29.990066,-83.17851,GHG emissions mtons CO2e
28.764113,-81.712282,GHG emissions mtons CO2e
26.559035,-81.891994,GHG emissions mtons CO2e
30.45931,-84.2778,GHG emissions mtons CO2e
29.284457,-82.783462,GHG emissions mtons CO2e
30.259849,-84.86858,GHG emissions mtons CO2e
30.447233,-83.470416,GHG emissions mtons CO2e
27.481682,-82.368767,GHG emissions mtons CO2e
29.202805,-82.0431,GHG emissions mtons CO2e
27.083604,-80.398201,GHG emissions mtons CO2e
25.61058,-80.499137,GHG emissions mtons CO2e
25.615457,-81.189971,GHG emissions mtons CO2e
30.605926,-81.764929,GHG emissions mtons CO2e
30.665851,-86.594187,GHG emissions mtons CO2e
27.385592,-80.887388,GHG emissions mtons CO2e
28.514435,-81.323295,GHG emissions mtons CO2e
28.059027,-81.139312,GHG emissions mtons CO2e
26.649124,-80.448374,GHG emissions mtons CO2e
28.307465,-82.464584,GHG emissions mtons CO2e
27.903122,-82.739518,GHG emissions mtons CO2e
27.953115,-81.692783,GHG emissions mtons CO2e
29.606006,-81.740894,GHG emissions mtons CO2e
29.890644,-81.383948,GHG emissions mtons CO2e
27.379812,-80.443537,GHG emissions mtons CO2e
30.701838,-87.012762,GHG emissions mtons CO2e
27.184386,-82.365835,GHG emissions mtons CO2e
28.690092,-81.131989,GHG emissions mtons CO2e
28.71431,-82.074703,GHG emissions mtons CO2e
30.189244,-82.992754,GHG emissions mtons CO2e
30.009908,-83.609483,GHG emissions mtons CO2e
30.05428,-82.366918,GHG emissions mtons CO2e
29.057769,-81.161792,GHG emissions mtons CO2e
30.140358,-84.375112,GHG emissions mtons CO2e
30.631211,-86.176614,GHG emissions mtons CO2e
30.602217,-85.662797,GHG emissions mtons CO2e
31.739712,-82.290103,GHG emissions mtons CO2e
31.296861,-82.878199,GHG emissions mtons CO2e
31.55021,-82.451433,GHG emissions mtons CO2e
31.31958,-84.454881,GHG emissions mtons CO2e
33.05949,-83.255457,GHG emissions mtons CO2e
34.351922,-83.498441,GHG emissions mtons CO2e
33.992009,-83.712303,GHG emissions mtons CO2e
34.240917,-84.838188,GHG emissions mtons CO2e
31.740775,-83.14719,GHG emissions mtons CO2e
31.288652,-83.22787,GHG emissions mtons CO2e
32.808844,-83.694193,GHG emissions mtons CO2e
32.435403,-83.331717,GHG emissions mtons CO2e
31.197334,-81.982978,GHG emissions mtons CO2e
30.822934,-83.581905,GHG emissions mtons CO2e
32.017969,-81.438543,GHG emissions mtons CO2e
32.391711,-81.744021,GHG emissions mtons CO2e
33.050819,-82.011571,GHG emissions mtons CO2e
33.290355,-83.958221,GHG emissions mtons CO2e
31.521279,-84.62629,GHG emissions mtons CO2e
30.913347,-81.642001,GHG emissions mtons CO2e
32.403851,-82.071236,GHG emissions mtons CO2e
33.582237,-85.080527,GHG emissions mtons CO2e
34.900218,-85.139386,GHG emissions mtons CO2e
30.779904,-82.139644,GHG emissions mtons CO2e
31.98041,-81.085196,GHG emissions mtons CO2e
32.347445,-84.788021,GHG emissions mtons CO2e
34.474178,-85.345289,GHG emissions mtons CO2e
34.244317,-84.475057,GHG emissions mtons CO2e
33.952185,-83.367152,GHG emissions mtons CO2e
31.619831,-84.992583,GHG emissions mtons CO2e
33.542686,-84.355573,GHG emissions mtons CO2e
30.917653,-82.702614,GHG emissions mtons CO2e
33.93994,-84.574166,GHG emissions mtons CO2e
31.549245,-82.844938,GHG emissions mtons CO2e
31.189758,-83.769741,GHG emissions mtons CO2e
33.547631,-82.252296,GHG emissions mtons CO2e
31.152528,-83.429438,GHG emissions mtons CO2e
33.352897,-84.762138,GHG emissions mtons CO2e
32.709428,-83.979187,GHG emissions mtons CO2e
31.915149,-83.753531,GHG emissions mtons CO2e
34.852424,-85.506201,GHG emissions mtons CO2e
34.442842,-84.173284,GHG emissions mtons CO2e
30.880655,-84.584144,GHG emissions mtons CO2e
33.770661,-84.226343,GHG emissions mtons CO2e
32.160235,-83.156241,GHG emissions mtons CO2e
32.151995,-83.807167,GHG emissions mtons CO2e
31.532588,-84.20904,GHG emissions mtons CO2e
33.699317,-84.765944,GHG emissions mtons CO2e
31.324191,-84.906723,GHG emissions mtons CO2e
30.7085,-82.836132,GHG emissions mtons CO2e
32.361711,-81.343337,GHG emissions mtons CO2e
34.116455,-82.841834,GHG emissions mtons CO2e
32.5911,-82.299763,GHG emissions mtons CO2e
32.153083,-81.890153,GHG emissions mtons CO2e
34.866543,-84.317331,GHG emissions mtons CO2e
33.412717,-84.493941,GHG emissions mtons CO2e
34.263684,-85.213654,GHG emissions mtons CO2e
34.225143,-84.127435,GHG emissions mtons CO2e
34.375081,-83.228064,GHG emissions mtons CO2e
33.790034,-84.468182,GHG emissions mtons CO2e
34.690495,-84.454651,GHG emissions mtons CO2e
33.227491,-82.606913,GHG emissions mtons CO2e
31.212746,-81.496517,GHG emissions mtons CO2e
34.509667,-84.873862,GHG emissions mtons CO2e
30.875903,-84.245008,GHG emissions mtons CO2e
33.57674,-83.166613,GHG emissions mtons CO2e
33.959148,-84.023085,GHG emissions mtons CO2e
34.634392,-83.525875,GHG emissions mtons CO2e
34.317588,-83.818497,GHG emissions mtons CO2e
33.26922,-83.000465,GHG emissions mtons CO2e
33.795165,-85.220062,GHG emissions mtons CO2e
32.731549,-84.912432,GHG emissions mtons CO2e
34.348733,-82.96329,GHG emissions mtons CO2e
33.291347,-85.137879,GHG emissions mtons CO2e
33.452947,-84.154021,GHG emissions mtons CO2e
32.458381,-83.662856,GHG emissions mtons CO2e
31.604306,-83.277037,GHG emissions mtons CO2e
34.130901,-83.562545,GHG emissions mtons CO2e
33.318169,-83.690142,GHG emissions mtons CO2e
31.811615,-82.636825,GHG emissions mtons CO2e
33.058176,-82.420004,GHG emissions mtons CO2e
32.794563,-81.971524,GHG emissions mtons CO2e
32.694584,-82.66397,GHG emissions mtons CO2e
33.020226,-83.562339,GHG emissions mtons CO2e
33.07446,-84.146721,GHG emissions mtons CO2e
31.038197,-83.063164,GHG emissions mtons CO2e
32.39322,-82.926317,GHG emissions mtons CO2e
31.818419,-84.146681,GHG emissions mtons CO2e
31.807458,-81.457871,GHG emissions mtons CO2e
33.792151,-82.448299,GHG emissions mtons CO2e
31.749563,-81.74287,GHG emissions mtons CO2e
30.833127,-83.268992,GHG emissions mtons CO2e
34.568135,-83.998906,GHG emissions mtons CO2e
33.482464,-82.473188,GHG emissions mtons CO2e
31.488592,-81.37246,GHG emissions mtons CO2e
32.362686,-84.051231,GHG emissions mtons CO2e
34.128526,-83.203737,GHG emissions mtons CO2e
32.359538,-84.529561,GHG emissions mtons CO2e
33.029267,-84.667058,GHG emissions mtons CO2e
31.162908,-84.730386,GHG emissions mtons CO2e
31.228997,-84.192038,GHG emissions mtons CO2e
33.017435,-83.922938,GHG emissions mtons CO2e
32.172108,-82.533349,GHG emissions mtons CO2e
33.593474,-83.491049,GHG emissions mtons CO2e
34.797097,-84.73799,GHG emissions mtons CO2e
32.510197,-84.874946,GHG emissions mtons CO2e
33.544021,-83.855185,GHG emissions mtons CO2e
33.834125,-83.437728,GHG emissions mtons CO2e
