county_state_name,population,Emissions_per_person
"Henry County, KY",15528,3.258887171561051
"Talbot County, GA",6373,3.2582771065432294
"Itawamba County, MS",23511,3.257283824592744
"Washington County, IN",27792,3.256476683937824
"Cullman County, AL",81316,3.255988981258301
"Divide County, ND",2369,3.255804136766568
"Magoffin County, KY",12887,3.25452005897416
"Adams County, IL",66949,3.2532076655364532
"Blount County, TN",126192,3.2531222264485864
"Livingston County, KY",9353,3.252966962471934
"Johnson County, KY",23280,3.250343642611684
"Alexander County, IL",7051,3.2490426889802864
"Fayette County, WV",45192,3.2483404142326076
"Moultrie County, IL",14915,3.2481394569225612
"Dewey County, OK",4862,3.2480460715754833
"Burke County, ND",2239,3.2460920053595355
"Shelby County, TX",25705,3.245672048239642
"Cocke County, TN",35256,3.245433401406853
"Crawford County, IN",10582,3.2444717444717446
"Quitman County, MS",7634,3.244432800628766
"Douglas County, SD",2961,3.2441742654508614
"Butler County, NE",8205,3.2439975624619133
"Faulk County, SD",2354,3.2412914188615125
"Barnes County, ND",11033,3.2401885253330915
"Pulaski County, KY",63772,3.240152417989086
"Panola County, TX",23771,3.238483866896639
"Franklin County, KS",25663,3.2383587265713283
"Greenup County, KY",36255,3.237208660874362
"Hayes County, NE",1013,3.236920039486673
"Berkeley County, WV",110173,3.236491699418188
"Stark County, IL",5840,3.235958904109589
"Custer County, SD",8447,3.2335740499585652
"Polk County, MN",31550,3.2335340729001585
"Arthur County, NE",437,3.2334096109839816
"Roseau County, MN",15609,3.231917483503107
"Page County, VA",23759,3.231449135064607
"Jefferson County, WV",55531,3.230609929588878
"Grant County, ND",2369,3.230054875474884
"Crockett County, TN",14558,3.2294271191097677
"Benson County, ND",6802,3.227727139076742
"Iroquois County, IL",28814,3.227077115291178
"McIntosh County, OK",20161,3.226824066266554
"Brooks County, GA",15645,3.226781719399169
"Buckingham County, VA",17030,3.2267762771579567
"Garvin County, OK",27570,3.225861443598114
"Christian County, IL",33888,3.2253600094428707
"Sumner County, TN",172786,3.2246304677462296
"Warren County, IN",8309,3.2207245155855095
"Marshall County, OK",16079,3.219727594999689
"Lawrence County, TN",42406,3.21867188605386
"Giles County, TN",29034,3.2181580216298133
"Nicholas County, KY",7062,3.2150948739733787
"Alcorn County, MS",37309,3.214237851456753
"Slope County, ND",665,3.213533834586466
"Kimble County, TX",4453,3.2133393218055244
"Tunica County, MS",10407,3.2118766215047563
"Woodford County, KY",25591,3.211519674885702
"Decatur County, GA",27237,3.2096412967654295
"Grayson County, VA",15180,3.2076416337285902
"Hampshire County, WV",23455,3.207120017053933
"Worth County, GA",20988,3.206784829426339
"Fulton County, KY",6323,3.2062312193578997
"Henderson County, IL",6966,3.2058570198105083
"Gallia County, OH",30376,3.20582038451409
"Greene County, TN",68502,3.2049575194884823
"Nobles County, MN",21729,3.2047494132265637
"Perry County, TN",7891,3.2035230008870865
"Smyth County, VA",31513,3.2032177196712466
"Williamson County, TN",205645,3.2018672955821925
"Boone County, IN",61884,3.2017645918169477
"Coke County, TX",3228,3.2010532837670382
"Montgomery County, TN",189709,3.199036418936371
"Vinton County, OH",13128,3.1989640463132236
"Logan County, KY",26757,3.198901222110102
"Rogers County, OK",89970,3.1978770701344894
"Attala County, MS",19085,3.1975373329840187
"Pike County, OH",28298,3.1974697858505903
"Union County, TN",19081,3.1972642943241967
"Jenkins County, GA",9055,3.1963556046383212
"Chase County, NE",4061,3.194533366165969
"Limestone County, AL",90257,3.1939129375006923
"Trousdale County, TN",7970,3.193224592220828
"Buffalo County, NE",48402,3.193194496095203
"Clarke County, MS",16203,3.192803801765105
"Meigs County, OH",23345,3.192289569500964
"Spencer County, KY",17798,3.19221260815822
"Chester County, TN",17355,3.190204552002305
"Lincoln County, WV",21482,3.1898798994507027
"Johnston County, OK",11027,3.1869955563616577
"Ray County, MO",22921,3.1862920465948257
"Montgomery County, IL",29301,3.1860687348554655
"Buchanan County, VA",23158,3.1851627947145693
"Ripley County, IN",28633,3.1849614081654036
"Lawrence County, KY",15870,3.1841209829867676
"Geneva County, AL",26765,3.1839716047076405
"Clay County, NC",10730,3.182013047530289
"Little River County, AR",12616,3.181991122384274
"Marshall County, IL",12060,3.181592039800995
"Hawkins County, TN",56567,3.1813424788304134
"Knott County, KY",15884,3.180496096701083
"Sullivan County, IN",21026,3.179967659088747
"Marengo County, AL",20066,3.178959433868235
"Bourbon County, KY",20004,3.1757648470305937
"Boyd County, KY",48716,3.175609655965186
"Latimer County, OK",10643,3.1747627548623507
"Webster County, KY",13331,3.1726052059110343
"Roger Mills County, OK",3732,3.1717577706323685
"Franklin County, PA",152707,3.170142822529419
"Anderson County, KS",7858,3.1678544158819038
"Carroll County, TN",28417,3.1677868881303444
"Adams County, OH",28111,3.1668386041051546
"Lee County, MS",85281,3.1666608036960167
"Avoyelles Parish, LA",41252,3.165713177542907
"McMinn County, TN",52606,3.165342356385203
"Floyd County, VA",15587,3.165137614678899
"Richardson County, NE",8149,3.1619830654067984
"Choctaw County, AL",13287,3.161285466997817
"Chariton County, MO",7615,3.1609980302035456
"Perry County, MO",19152,3.160609857978279
"St. Charles Parish, LA",52708,3.15874250588146
"Webster County, WV",8820,3.1578231292517005
"Benton County, TN",16173,3.157732022506647
"Russell County, KY",17684,3.157430445600543
"Custer County, OK",29248,3.156899617067834
"Brookings County, SD",33435,3.1565724540152535
"Mercer County, ND",8671,3.156152692884327
"Bureau County, IL",33822,3.1541008810833184
"Nicholas County, WV",25743,3.154100143728392
"Monona County, IA",9013,3.1535559747032065
"Douglas County, MO",13467,3.1534120442563305
"Montgomery County, MS",10353,3.151840046363373
"Keith County, NE",8103,3.1515488090830557
"Decatur County, IN",26340,3.151025056947608
"Harrison County, IN",39370,3.1475996951993905
"Danville city, VA",42360,3.146836638338055
"Macon County, TN",22924,3.1440848019542837
"Clay County, KY",21160,3.1435255198487715
"Turner County, SD",8289,3.1433224755700326
"Henry County, AL",17187,3.142433234421365
"Jackson County, TN",11526,3.1423737636647577
"Washington County, KY",12017,3.142048764250645
"Wise County, VA",40074,3.1417876927683785
"Hamilton County, TN",351305,3.141674613227822
"Lawrence County, OH",61503,3.1404159146708293
"Jackson County, OK",25864,3.1389189607175996
"Oliver County, ND",1768,3.137443438914027
"Madison County, AR",15761,3.136856798426496
"Mineral County, CO",793,3.1336696090794454
"Lowndes County, MS",59785,3.133578656853726
"Hopkins County, TX",35844,3.1326581854703717
"Page County, IA",15552,3.128858024691358
"Union County, IN",7251,3.12674113915322
"Simpson County, KY",17856,3.1262320788530467
"Panola County, MS",34319,3.1252076109443747
"Overton County, TN",22090,3.123404255319149
"Mason County, KY",17229,3.1232224737361425
"Ohio County, IN",6003,3.1229385307346327
"Choctaw County, MS",8320,3.1228365384615384
"Osage County, OK",47923,3.1217995534503267
"Camp County, TX",12631,3.1200221676826856
"Jefferson County, KS",18880,3.1198093220338983
"Kay County, OK",45398,3.1191462178950613
"Carter County, OK",48530,3.1187512878631773
"Clay County, TN",7769,3.117003475350753
"Terrell County, GA",9132,3.1161848445028473
"Amite County, MS",12692,3.114560352978254
"Mercer County, IL",15971,3.10312441299856
"Franklin County, AR",17799,3.1028709478060565
"Cherokee County, KS",20737,3.100207358827217
"Putnam County, GA",21259,3.099110964767863
"Bond County, IL",17137,3.0968664293633656
"Tipton County, IN",15447,3.096394121835955
"Preble County, OH",41561,3.096364380067852
"Marshall County, MN",9406,3.0957899213268125
"Rutherford County, TN",290289,3.09553582808856
"Catoosa County, GA",65645,3.09501104425318
"Shenandoah County, VA",42857,3.0945469818232727
"Cook County, MN",5215,3.0939597315436242
"Bath County, KY",12113,3.093866094278874
"Greene County, GA",16535,3.0937405503477473
"Fayette County, AL",16783,3.093070368825597
"Clark County, KY",35706,3.0930655912171625
"Hocking County, OH",28690,3.0921575461833393
"Deuel County, SD",4309,3.09213274541657
"Dearborn County, IN",49552,3.091923635776558
"Montgomery County, KY",27391,3.09152641378555
"Greenwood County, KS",6304,3.090418781725888
"Lee County, GA",29134,3.0899979405505595
"Lewis County, TN",11907,3.0898631057361214
"Buchanan County, MO",89415,3.087513280769446
"Anderson County, TN",75545,3.0864517837050762
"Clay County, MS",20147,3.085223606492282
"Walker County, AL",65593,3.084734651563429
"Ottawa County, KS",6004,3.0837774816788808
"Shelby County, IN",44404,3.0832357445275203
"Adams County, IA",3822,3.0829408686551543
"Renville County, ND",2573,3.0823940924990283
"Hale County, AL",15159,3.081007982056864
"Summers County, WV",13325,3.0809756097560976
"Fountain County, IN",16741,3.0804014097126813
